EAR,MAR,TIME
0.33289451327260233,0.4,00:00:24.750256
0.33289451327260233,0.4,00:00:24.750256
0.33182034010007655,0.40410352085392204,00:00:24.878691
0.33289451327260233,0.4,00:00:24.750256
0.33182034010007655,0.40410352085392204,00:00:24.878691
0.3647952289216493,0.5033006504530928,00:00:24.967330
0.33289451327260233,0.4,00:00:24.750256
0.33182034010007655,0.40410352085392204,00:00:24.878691
0.3647952289216493,0.5033006504530928,00:00:24.967330
0.34492918016680796,0.40410352085392204,00:00:25.061002
0.33289451327260233,0.4,00:00:24.750256
0.33182034010007655,0.40410352085392204,00:00:24.878691
0.3647952289216493,0.5033006504530928,00:00:24.967330
0.34492918016680796,0.40410352085392204,00:00:25.061002
0.34492918016680796,0.40410352085392204,00:00:25.157999
0.33289451327260233,0.4,00:00:24.750256
0.33182034010007655,0.40410352085392204,00:00:24.878691
0.3647952289216493,0.5033006504530928,00:00:24.967330
0.34492918016680796,0.40410352085392204,00:00:25.061002
0.34492918016680796,0.40410352085392204,00:00:25.157999
0.3712121212121212,0.36666666666666664,00:00:25.249422
0.33289451327260233,0.4,00:00:24.750256
0.33182034010007655,0.40410352085392204,00:00:24.878691
0.3647952289216493,0.5033006504530928,00:00:24.967330
0.34492918016680796,0.40410352085392204,00:00:25.061002
0.34492918016680796,0.40410352085392204,00:00:25.157999
0.3712121212121212,0.36666666666666664,00:00:25.249422
0.34920169767117837,0.4,00:00:25.341481
0.33289451327260233,0.4,00:00:24.750256
0.33182034010007655,0.40410352085392204,00:00:24.878691
0.3647952289216493,0.5033006504530928,00:00:24.967330
0.34492918016680796,0.40410352085392204,00:00:25.061002
0.34492918016680796,0.40410352085392204,00:00:25.157999
0.3712121212121212,0.36666666666666664,00:00:25.249422
0.34920169767117837,0.4,00:00:25.341481
0.34920169767117837,0.4,00:00:25.422455
0.33289451327260233,0.4,00:00:24.750256
0.33182034010007655,0.40410352085392204,00:00:24.878691
0.3647952289216493,0.5033006504530928,00:00:24.967330
0.34492918016680796,0.40410352085392204,00:00:25.061002
0.34492918016680796,0.40410352085392204,00:00:25.157999
0.3712121212121212,0.36666666666666664,00:00:25.249422
0.34920169767117837,0.4,00:00:25.341481
0.34920169767117837,0.4,00:00:25.422455
0.34771303408793985,0.36666666666666664,00:00:25.502934
0.33289451327260233,0.4,00:00:24.750256
0.33182034010007655,0.40410352085392204,00:00:24.878691
0.3647952289216493,0.5033006504530928,00:00:24.967330
0.34492918016680796,0.40410352085392204,00:00:25.061002
0.34492918016680796,0.40410352085392204,00:00:25.157999
0.3712121212121212,0.36666666666666664,00:00:25.249422
0.34920169767117837,0.4,00:00:25.341481
0.34920169767117837,0.4,00:00:25.422455
0.34771303408793985,0.36666666666666664,00:00:25.502934
0.3236335350239419,0.4,00:00:25.594934
0.33289451327260233,0.4,00:00:24.750256
0.33182034010007655,0.40410352085392204,00:00:24.878691
0.3647952289216493,0.5033006504530928,00:00:24.967330
0.34492918016680796,0.40410352085392204,00:00:25.061002
0.34492918016680796,0.40410352085392204,00:00:25.157999
0.3712121212121212,0.36666666666666664,00:00:25.249422
0.34920169767117837,0.4,00:00:25.341481
0.34920169767117837,0.4,00:00:25.422455
0.34771303408793985,0.36666666666666664,00:00:25.502934
0.3236335350239419,0.4,00:00:25.594934
0.3236335350239419,0.4,00:00:25.677153
0.33289451327260233,0.4,00:00:24.750256
0.33182034010007655,0.40410352085392204,00:00:24.878691
0.3647952289216493,0.5033006504530928,00:00:24.967330
0.34492918016680796,0.40410352085392204,00:00:25.061002
0.34492918016680796,0.40410352085392204,00:00:25.157999
0.3712121212121212,0.36666666666666664,00:00:25.249422
0.34920169767117837,0.4,00:00:25.341481
0.34920169767117837,0.4,00:00:25.422455
0.34771303408793985,0.36666666666666664,00:00:25.502934
0.3236335350239419,0.4,00:00:25.594934
0.3236335350239419,0.4,00:00:25.677153
0.3169927832279439,0.4,00:00:25.757693
0.33289451327260233,0.4,00:00:24.750256
0.33182034010007655,0.40410352085392204,00:00:24.878691
0.3647952289216493,0.5033006504530928,00:00:24.967330
0.34492918016680796,0.40410352085392204,00:00:25.061002
0.34492918016680796,0.40410352085392204,00:00:25.157999
0.3712121212121212,0.36666666666666664,00:00:25.249422
0.34920169767117837,0.4,00:00:25.341481
0.34920169767117837,0.4,00:00:25.422455
0.34771303408793985,0.36666666666666664,00:00:25.502934
0.3236335350239419,0.4,00:00:25.594934
0.3236335350239419,0.4,00:00:25.677153
0.3169927832279439,0.4,00:00:25.757693
0.3169927832279439,0.4,00:00:25.840552
0.33289451327260233,0.4,00:00:24.750256
0.33182034010007655,0.40410352085392204,00:00:24.878691
